PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
M0QY97;ZC3H4;0,7888575;0,01272354;0,8633074;0,01227675;Vicino all'ER;Nucleus;0,0744499;0,178195478;;
Q8WV24;PHLDA1;0,951799;0,04847072;1,02621;0,03818929;Vicino all'ER;PM;0,074411;0,178076528;;
Q7Z7M9;GALNT5;0,8850545;0,02880519;0,9593138;0,02442838;Vicino all'ER;Golgi apparatus;0,0742593;0,177612655;;
Q86U42;PABPN1;0,7443694;0,00921001;0,8184898;0,008965517;Vicino all'ER;Nucleus;0,0741204;0,177187921;;
H0YNP1;GLCE;0,9018426;0,03250621;0,9759568;0,02768717;Vicino all'ER;Golgi apparatus;0,0741142;0,177168962;;
Q8N3E9;PLCD3;1,169982;0,1947384;1,244089;0,1342814;Vicino all'ER;PM;0,074107;0,177146946;;
O60814;H2BC12;0,7718055;0,01125545;0,8458138;0,01072634;Vicino all'ER;Nucleus;0,0740083;0,176845137;;
Q86YZ3;HRNR;1,166284;0,190716;1,10014;0,0596654;Vicino al REPLICOMA;ER;0,066144;0,152797386;;
Q8NBQ5;HSD17B11;0,3593712;0;0,2593143;0;Vicino al REPLICOMA;ER;0,1000569;0,256497522;;
A0A8I5KSX8;NPR2;1,037372;0,08996572;1,111214;0,06373529;Vicino all'ER;PM;0,073842;0,176336619;;
O95292;VAPB;0,4265853;0,000272727;0,5003973;0,000327586;Vicino all'ER;ER;0,073812;0,176244884;;
Q9UKZ1;CNOT11;0,9786562;0,05908009;1,052324;0,0445415;Vicino all'ER;PM;0,0736678;0,175803944;;
A0A8I5KSE4;NAV1;1,145378;0,1713974;1,219037;0,1158838;Vicino all'ER;ER;0,073659;0,175777035;;
P49754;VPS41;1,150229;0,1761086;1,223852;0,1192297;Vicino all'ER;PM;0,073623;0,175666953;;
Q5TEC6;H3-7;0,7903959;0,01296402;0,8638227;0,01228155;Vicino all'ER;Nucleus;0,0734268;0,175067005;;
A0A0G2JNW7;SLC12A7;1,013999;0,07606944;1,087331;0,05531561;Vicino all'ER;PM;0,073332;0,174777122;;
Q9UBB5;MBD2;0,8973954;0,03154162;0,9706766;0,02695138;Vicino all'ER;Nucleus;0,0732812;0,174621784;;
