WELL NAME;INFECTION 1;INFECTION 2;INFECTION 3;INFECTION 4;REINFECTION 1;REINFECTION 2;REINFECTION 3;REINFECTION 4;REINFECTION 5;REINFECTION 6
D11- PNPO;0,94;1,16;1,16;1,58;0,91;1,16;1,01;0,41;1,14;1,07
D12- NT (esterno);0,92;0,85;0,83;1,42;1,07;1,38;0,95;0,94;1,06;1
E1- NT (esterno);0,71;1,07;0,95;1,51;0,96;1,12;1;1,14;1,14;1,2
E2- GUK1;0,08;0,48;0,46;0,66;0,53;0,18;1;0,47;0,42;0,35
E3- MAP2K4;0,85;1,1;1,06;1,46;0,97;1,45;1,6;1;1,14;1,04
E4- ATP6V1F;0,96;1,22;1,08;1,37;1,05;1,31;1,59;0,76;0,62;1,04
E5- DPY30;0,73;1,04;0,83;1,08;0,64;1,18;1,41;0,29;0,5;1,05
E6- ERCC6L;0,98;1,01;0,71;1,1;0,14;0,19;1,13;0,44;0,27;0,66
E7- LSM7;0,19;0,72;0,17;0,9;0,75;0;0,99;0,34;0,14;0,68
E8- PFKFB4;0,71;1,11;1,05;1,19;0,72;0,55;1,28;0,45;0,38;0,81
E9- PPIH;0,9;0,95;0,44;1,33;0,26;0,02;0,76;0,34;0,39;1,09
E10- SOD1;0,54;0,56;0,83;1,25;0,53;0,05;0,91;0,02;0,43;1,04
E11- STAM2;0,85;0,89;0,74;1,17;1,22;0,55;0,74;0,64;1,08;1,04
E12- ACE2 (esterno);0,12;0,28;0,1;0,15;0,24;0,18;0,18;0,12;0,57;0,13
F1- NT (esterno);0,75;0,93;0,55;1,29;1,14;1,16;1,28;0,97;0,97;1,1
F2- CNOT2;0,82;0,68;0,74;0,68;0,25;0,9;1,39;0,4;0,52;0,73
F3- DRG1;0,7;0,91;0,99;1,3;1,15;1,6;1,69;0,68;1,14;1,07
F4- SEC24B;1,1;0,83;1,02;1,1;1,02;1,42;1,57;0,97;1,08;1,1
F5- TOP3B;0,7;0,89;0,44;1,09;0,23;1;1,29;0,83;0,92;0,47
F6- ZC3H15;1,05;1,22;1,13;1,38;0,9;0,63;1,41;0,93;0,81;1,09
F7- ALDH3B1;0,34;0,42;0,3;0,37;0,97;0,38;1,18;0,01;0,33;0,83
F8- TMED4;0,54;0,87;0,36;1,29;0,67;1,31;1,01;0,4;1,04;1
F9- SEPT10;1,06;0,94;1,15;1,29;0,6;0,65;1,24;0,52;0,28;1,07
F10- NT;1;1;0,7;1,03;1,03;0,36;1,14;0,36;0,52;0,97
F11- ABCC3;0,53;0,61;0,75;1,32;0,99;1,3;1,06;0,76;0,92;0,86
F12- ACE2 (esterno);0,08;0,25;0,09;0,07;0,11;0,05;0;0,36;0,14;0,07
G1- NT (esterno);0,5;0,59;0,76;1,35;1,1;1;1,04;1,22;1,23;1,06
G2- CAV1;0,79;0,6;1,07;1,38;1,23;1,57;1,62;1,17;1,21;1,25
G3- CDK17;0,78;0,94;0,4;0,99;1,15;1,19;1,43;0,61;0,54;0,85
G4- DTX3L;0,75;0,85;0,43;1,41;0,89;0,58;1,56;1,12;1,15;1,02
G5- VPS33A;0,86;1;0,45;1,31;1,15;1,27;1,56;1,21;1,19;1,03
G6- BLMH;0,99;0,33;0,86;1,41;0,49;0,73;1,43;0,98;1,25;1,11
G7- ME3;0,9;0,97;0,57;1,34;1,05;0,4;1,46;0,62;0,62;0,88
G8- TCIRG1;1,01;1,11;1,03;1;0,84;1,06;1,43;0,57;1,04;1,1
G9- ADCY9;0,73;0,2;0,21;0,55;0,62;0,65;1,22;0,76;1,11;0,93
G10- ARL8B;0,44;0,39;0,73;1,21;0,96;0,1;1,25;0,68;1,09;1,19
G11- NT;1,04;0,79;1;0,58;0,43;0,49;0,94;0,39;1;0,55
G12- ACE2 (esterno);0,18;0,12;0,17;0,09;0,18;0,23;0,18;0,25;0,02;0,27
H1- inf;0,79;0,2;0,31;0,75;1,14;1,52;1,75;0,37;0,88;0,42
H2- PLK;1,01;0,39;0,62;0,92;1,16;1,27;1,39;0,32;0,7;0,99
H3- PLK;0,52;0,78;0,96;0,34;1,04;0,97;1,02;0,69;0,66;0,58
H4- PLK;0,76;0,8;0,52;1,08;0,86;1,12;1,29;0,82;0,65;0,94
H5- inf;0,69;0,74;0,81;1,26;0,96;1,08;1,39;0,94;1,02;1,07
H6- inf;0,71;0,93;0,42;1,02;0,92;0,95;1,28;0,95;1,17;1,06
H7- MOCK;0;0;0;0;0;0;0;0;0;0
H8- MOCK;0;0;0;0;0;0;0;0;0;0
H9- MOCK;0;0;0;0;0;0;0;0;0;0
H10- MOCK;0;0;0;0;0;0;0;0;0;0
H11- MOCK;0,01;0;0;0;0;0;0;0;0;0
H12- MOCK;0;0;0;0,01;0;0;0;0;0;0
A1- MOCK;0;0,01;0;0;0;0;0;0;0;0
A2- MOCK;0,01;0;0;0;0;0;0;0;0;0
A3- MOCK;0;0;0;0;0;0;0;0;0;0
A4- MOCK;0,01;0,01;0;0;0;0;0;0;0;0
A5- MOCK;0;0;0;0,03;0;0;0;0;0;0
A6- MOCK;0;0;0;0;0;0;0;0;0;0
A7- inf;0,64;1,35;0,73;1,51;0,61;1,16;1,11;1,32;0,56;1,73
A8- inf;0,9;1,22;0,87;0,6;1,54;0,67;0,98;0,69;1,06;0,66
A9- PLK;0,79;1,53;1,2;1,39;0,29;0,54;0,64;0,66;1,02;0,98
A10- PLK;0,68;0,97;0,74;1,21;0,31;0,28;0,18;1,06;0,2;0,61
A11- PLK;0,49;1,22;0,37;0,84;1,23;0,81;0,87;0,13;0,16;0,24
A12- inf;0,97;1,17;0,88;1,35;0,8;0,94;0,85;0,56;1,24;0,44
B1- ACE2 (esterno);0,09;0,11;0,02;0,05;0,05;0,1;0,18;0,16;0,16;0,05
B2- DHRS4;0,67;1,7;0,71;0,47;1,64;0,45;0,88;1,94;2,36;1,88
B3- CHD3;1,05;1,82;0,53;1,7;1,45;0,42;1,12;1,3;0,82;0,66
B4- CHD4;1,17;2,15;1,27;2,17;1,9;0,55;0,84;1,61;1,87;1,51
B5- ELAC2;1;2,06;1,34;1,63;1,53;0,87;1,12;1,24;2,38;0,92
B6- CDK16;0,76;1,05;0,64;0,69;0,87;0,13;0,29;1,23;0,89;0,18
B7- HAT1;0,94;1,73;0,33;0,81;1,56;0,56;0,27;1,5;1,31;1,99
B8- MAP3K9;0,98;1,33;0,44;0,91;1,47;0,43;1,05;0,26;0,31;0,12
B9- PRKD2;1,26;2,1;1,17;1,8;1,84;1,15;0,88;0,84;0,76;0,74
B10- BAZ1B;1,04;1,26;1,12;1,87;1,76;0,81;0,18;1,09;0,19;0,13
B11- MYLK;1,21;2,01;0,63;0,82;1,37;0,31;1,04;0,06;0,96;0,48
